FID,pointid,grid_code,reforest,recultivat,area,RASTERVALU,Longitude,Latitude,lu
84433,111293,130828,8,2,24300,0.243,1029560,4631680,0
104283,138908,130826,8,2,64800,0.648,918606,4514736,0
109898,146950,130732,8,2,17100,0.171,924256,4482262,0
114535,153703,130732,8,2,10800,0.108,931432,4456782,0
114752,154022,130821,8,2,115200,1.152,1060356,4455710,0
121288,164210,130227,8,2,57600,0.576,1097225,4420959,0
121378,164351,130227,8,2,239400,2.394,1098319,4420981,0
124654,169844,130306,8,2,46800,0.468,1196558,4401961,0
125425,171237,130306,8,2,77400,0.774,1198161,4397348,0
128437,176800,130731,8,2,43200,0.432,835684,4378409,0
128488,176912,130731,8,2,36900,0.369,835715,4378031,0
129009,177976,130705,8,2,34200,0.342,826394,4374837,0
133832,188495,130731,8,2,33300,0.333,849168,4337082,0
133894,188641,130727,8,2,86400,0.864,780039,4336526,0
135831,192938,130726,8,2,23400,0.234,835748,4316335,0
135853,192998,130726,8,2,38700,0.387,832624,4316009,0
136203,193774,130726,8,2,32400,0.324,834980,4312157,0
136220,193805,130726,8,2,51300,0.513,835205,4311944,0
136520,194483,130726,8,2,93600,0.936,802337,4308792,0
136679,194879,130726,8,2,54000,0.54,834844,4306711,0
138008,198298,130630,8,2,96300,0.963,821208,4286025,0
139764,202507,130630,8,2,86400,0.864,816230,4251531,0
143615,210151,130126,8,2,31500,0.315,756337,4191066,0
143842,210625,130126,8,2,100800,1.008,755871,4188420,0
144037,211061,130131,8,2,325800,3.258,744224,4186228,0
144468,211925,130126,8,2,64800,0.648,759290,4181408,0
162502,253728,130523,8,2,87300,0.873,794044,4040916,0
162943,254686,130523,8,2,39600,0.396,791260,4037997,0
166358,262789,130503,8,2,93600,0.936,773061,4016143,0
166689,263727,130503,8,2,20700,0.207,770558,4013390,0
167126,264869,130503,8,2,28800,0.288,764972,4010139,0
167318,265382,130503,8,2,53100,0.531,764443,4008778,0
82246,108056,130828,5,5,103500,1.035,1040063,4649468,0
82269,108092,130828,5,5,39600,0.396,1028992,4649087,0
82293,108123,130828,5,5,128700,1.287,1023844,4649132,0
82437,108328,130828,5,5,30600,0.306,1021309,4647611,0
